attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,average,good,0,30385886,0,,good,4,TRA3956,Great teacher! She uses the virtual campus a lot which is very useful for readings and resources but can also be a little bit overwhelming. She listens to her students very well.,07/30/2018,3.0,3.0,,4,N/A,4.0,4.0,1,No,1532956274000,Yes,1452,Yes,,A,"['Respected', 'Get ready to read', 'Accessible outside class']",people,people
Mandatory,average,good,average,5,29325101,1,,poor,2,TRA3155,"A decent professor. Lots of readings and slides. Weekly quizzes. 3 assignments, 1 presentation, and participation marks. Takes rather long to get grades back to you. Make sure you actually read everything posted on BrightSpace. Go to class, and participate on the online forums.",12/23/2017,4.0,4.0,,2,N/A,2.0,2.0,1,No,1514043903000,No,1452,Yes,,D+,"['Tough grader', 'Participation matters', 'Get ready to read']",person,people
Mandatory,good,average,good,0,23886418,8,,good,4,TRA3155,"Elizabeth Marshman is an exceptional professor. She is extremely thorough and clear. She employs teaching tools to cater to all types of learners and make the material more interesting (it is quite dull). This class had the heaviest amount of work, with regular assignments and weekly quizzes, but I learned a lot!",11/24/2014,3.0,3.0,,4,Sorta interested,4.0,4.0,1,No,1416851044000,N/A,1452,Yes,,N/A,"['Hilarious', 'Gives good feedback', 'Respected']",people,people
