attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,average,good,average,1,24661121,0,,average,3,ENG1123,"Chose very interesting works for us to read, but he's such a tough grader!  Feedback could be pretty harsh too.",04/24/2015,4.0,4.0,,3,Sorta interested,3.0,3.0,1,Yes,1429841203000,N/A,1452,Yes,,C+,"['Tough grader', 'Get ready to read']",people,person
N/A,good,good,good,3,21892753,3,,awesome,5,ENG3320,"One of the best profs I've ever had. If you're serious about English, take his class.",06/14/2013,4.0,4.0,,5,It's my life,5.0,5.0,1,Yes,1371206851000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,good,good,3,21353624,0,,awesome,5,ENG1101,"Childs is my favourite professor of all time. He is smart and sharply witty and and an amazing teacher. I can't wait to take his fourth year course. You have to be respectful and want to be there - otherwise he wants nothing to do with you. But if you apply yourself and have a sense of humour, you should do just fine.",02/20/2013,5.0,5.0,,5,It's my life,5.0,5.0,1,Yes,1361348056000,N/A,1452,N/A,,N/A,[],people,people
