attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,average,good,poor,0,24581071,0,,poor,2,CML2313,Very difficult.  The classes are all fact patterns and no lectures.  We were rushed through a new unit 2 days before the exam and then that was the first question on the exam.  Worst grade I have gotten in law school.  ,04/12/2015,5.0,5.0,,1,Low,1.5,1.5,1,Yes,1428841783000,N/A,1452,Yes,,D+,['Tough grader'],people,people
N/A,average,good,poor,0,24331460,0,,poor,2,CML2313,"He doesn't actually teach classes. You listen to Podcasts and do readings before the 'lecture'. For each 3hr class he only uses an hour to go through a fact pattern and that's it. There are no lectures, there is no teaching. As a person he is very nice, but he is the most terrible professor I have ever had. Very difficult marker - curves low. ",01/26/2015,5.0,5.0,,1,Sorta interested,1.5,1.5,1,Yes,1422263596000,N/A,1452,Yes,,N/A,['Tough grader'],people,people
N/A,good,good,good,0,24144276,0,,awesome,5,CML2313,Prof Yalkin is great but I'd recommend coming to this class and using the great online lectures and materials he has but enrol in someone else's class. His exmas are so hard! I had a friend who was in another section and came to his class and used his website and did amazing. Uottawa needs more profs like him but with easier exams.,12/19/2014,5.0,5.0,,5,Low,5.0,5.0,1,Yes,1418984248000,N/A,1452,Yes,,N/A,"['Clear grading criteria', 'Tough grader', 'Inspirational']",people,people
N/A,good,good,good,0,22803298,0,,awesome,5,CML2313,"Tolga Yalkin is one of the best profs I have ever had in law school. uOttawa should hire him as a full-time prof!  Yes, his exam is hard, but he really helps you to do well on it. You learn lots in his class.  If you have any questions, he is always there to answer them.  Most of all, he genuinely cares about his students.",01/29/2014,4.0,4.0,,5,It's my life,5.0,5.0,1,Yes,1391001690000,N/A,1452,N/A,,N/A,[],people,people
Not Mandatory,good,good,good,0,22761609,0,,awesome,5,CML2313,"Seriously the best (and HARDEST) professor I've ever had. His online course materiasl are amazing, and clear (especially the webcasts). He really cares about his students and works to figure out the best way to help them learn. In class you have to interact though, which can be annoying if you just want to passively listen.",01/16/2014,5.0,5.0,,5,It's my life,5.0,5.0,1,Yes,1389882554000,N/A,1452,N/A,,N/A,[],people,people
Not Mandatory,good,average,good,0,22663869,0,,awesome,5,CML4307,"Prof Yalkin is an excellent instructor for legal writing. He knows his stuff *really* well and is excellent at explaining a lot of the trickier grammar rules. Beyond that, it's a fun class, he's super sharp and very intelligent.",12/27/2013,2.0,2.0,,5,Really into it,5.0,5.0,1,No,1388169474000,N/A,1452,N/A,,B+,[],people,people
Mandatory,good,average,good,0,22483632,0,,awesome,5,CML2313,"Yalkin is one of the best professors at UofO. Lectures are engaging (ridiculous analogies & interactive activities), he provides supplementary podcasts & frameworks to make content clear, and is always accessible to answer questions. Workload is heavy, but worth it. Overall, a top quality prof who genuinely cares about students and their learning.",12/09/2013,3.0,3.0,,5,Sorta interested,5.0,5.0,1,Yes,1386623959000,N/A,1452,N/A,,N/A,[],people,people
Not Mandatory,good,average,good,0,22477296,0,,awesome,5,CML2313A,"Yalkin is the best professor I have ever had! He is a wonderful person, and his knowledge of con law is extraordinary. He is ALWAYS willing to help students if they do not understand certain concepts. He puts so much effort into the course by making podcasts, quizzes, and exercises for students. I would HIGHLY recommend this course! Amazing!",12/09/2013,3.0,3.0,,5,It's my life,5.0,5.0,1,Yes,1386596055000,N/A,1452,N/A,,N/A,[],people,people
Mandatory,good,poor,good,0,22457073,0,,awesome,5,CML2313A,"Prof. Yalkin, puts so much heart into teaching. He also works full time for the government and still manages to be on top of everything. He is brilliant and knows the material inside out. He makes himself available for help, even giving you his cell number, inviting us to his place for exam Q&A, it just does not get better than this!",12/06/2013,1.0,1.0,,5,It's my life,5.0,5.0,1,Yes,1386352967000,N/A,1452,N/A,,N/A,[],people,people
Mandatory,good,good,good,0,22457042,1,,awesome,5,CML2313A,"Professor Yalkin is the best professor I have had in my life! My law degree is my third degree, so I have seen many professors in action. You will never see a more engaged and caring human being. He is approachable, and will teach you till you get it. He has detailed slides, quizzes, in class problems, no straight lecturing! He makes Con Law fun!",12/06/2013,4.0,4.0,,5,Sorta interested,5.0,5.0,1,Yes,1386352690000,N/A,1452,N/A,,N/A,[],person,people
N/A,good,good,good,0,21948999,0,,awesome,5,CML1213,"Very clear lectures, delivered with impressive articulation. He gives you exactly what you need to prep for the exam. The 100% exam was challenging, but required thoughtfulness over regurgitation. I received an A, so it wasn't untenable. The material and cases were interesting.",07/06/2013,4.0,4.0,,4,Really into it,4.5,4.5,1,Yes,1373124540000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,good,good,1,21783740,0,,awesome,4,CONLAW1,"The most ridiculously and unnecessarily difficult exam possible. Studied more for this class than for the classes that I got an A in and still somehow did not do well. Even if you understand the constitution you are still likely to bomb because the exam does not test for understanding, rather minutia is key. Cruel and unusual... Nice man though.",05/17/2013,5.0,5.0,,5,Really into it,4.5,4.5,1,Yes,1368806032000,N/A,1452,N/A,,N/A,[],people,person
N/A,average,good,average,0,21666253,0,,poor,2,CML2313A,"This guy is a very nice fella and extremely pleasant. However, if you want a living nightmare take this course. The absolutely worst course in law school, readings that are impossible to get through and material that should be given two terms to get through, not one. BRUTAL!",05/03/2013,5.0,5.0,,2,Really into it,2.0,2.0,1,Yes,1367578236000,N/A,1452,N/A,,N/A,[],people,people
