attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,34438341,0,online,awesome,5,ADM3718,"Un des meilleurs prof que j'ai eu. Il apporte une touche personnelle au cours et fait des liens avec son exp&eacute;rience personnelle. Les discussions sur l'actualit&eacute; commerciale au d&eacute;but de chaque cours sont tr&egrave;s enrichissantes, il am&egrave;ne toujours ses &eacute;l&egrave;ves &agrave; participer. Si vous mettez l'effort, vous r&eacute;ussirez. Je recommande &agrave; 100%",03/15/2021,3.0,3.0,,5,N/A,5.0,5.0,1,No,1615816091000,Yes,1452,Yes,,N/A,"['Respected', 'Caring', 'Inspirational']",people,people
Mandatory,good,average,good,0,34284016,0,online,awesome,5,ADM3718,"This is one of the best profs in Telfer. Hes very charismatic and talks about his personal career as a respected professional in international affairs. Participation marks are easy to get as long as you post your response on the forum weekly. Assignments are graded very fairly, and as long as you put in the effort, youll get an A. Recommend!",01/16/2021,2.0,2.0,,5,N/A,5.0,5.0,1,No,1610773815000,Yes,1452,Yes,,A,"['Inspirational', 'Respected', 'Participation matters']",people,people
Mandatory,good,average,good,0,34157292,0,online,awesome,5,ADM3718,"I had a great online course with prof Ado he one of the best professors that have had at Telfer. His lectures reflects the test and his project are very manageable. Accessible, caring and respectful towards everyone with a great background culture. I would recommend him 100% !",12/20/2020,3.0,3.0,,5,N/A,5.0,5.0,1,No,1608487468000,Yes,1452,Yes,,A-,"['Inspirational', 'Group projects', 'Caring']",people,people
Mandatory,good,good,good,0,34112963,0,online,awesome,5,ADM3718,"One of the best profs I've had at Telfer. The individual project was hard but also very informative. He does a great job of linking class concepts to real life and showing you why what you're learning is important. He expects a lot from his students, but he is not a hard marker and is a super nice guy. Absolutely take his class if you can.",12/17/2020,4.0,4.0,,5,N/A,5.0,5.0,1,No,1608172629000,Yes,1452,Yes,,N/A,"['Respected', 'Inspirational']",people,people
Mandatory,good,good,good,0,33512262,0,,good,4,ADM3718,He is a good teacher but he is demanding as well,07/16/2020,4.0,4.0,,4,N/A,4.0,4.0,1,No,1594922610000,Yes,1452,Yes,,A-,"['Inspirational', 'Participation matters']",people,people
N/A,good,average,good,0,33008460,0,,awesome,5,ADM3718,Amazing professor! He is so passionate about the subject he teaches and demonstrates it in class. Attendance and participation are mandatory. Exams are breezes if you take good notes and study well.,03/31/2020,2.0,2.0,,5,N/A,5.0,5.0,1,No,1585692599000,Yes,1452,Yes,,B+,"['Participation matters', 'Respected', 'Inspirational']",people,people
Mandatory,good,average,good,0,32972336,0,,awesome,5,ADM3718,"Easy course, nice prof.",03/14/2020,2.0,2.0,,5,N/A,5.0,5.0,1,No,1584170418000,Yes,1452,Yes,,A,"['Group projects', 'Clear grading criteria', 'Participation matters']",people,people
Mandatory,average,average,average,0,32543408,0,,average,3,ADM3718,"He is very passionate about what he teaches but if you aren't interested in international business then his classes seem so long and he just rambles on about stuff. Weekly breaking news on brightspace and a couple reports. Ok prof, easy grader I guess.",12/06/2019,3.0,3.0,,3,N/A,3.0,3.0,1,No,1575592253000,No,1452,Yes,,N/A,"['Participation matters', 'Accessible outside class', 'Respected']",people,people
Mandatory,good,average,good,0,32208432,0,,good,4,ADM3718,"He's so much fun to learn from, idk what someone with his rep is doing teaching uni, overqualified, very inspirational, you will get hands on learning from him. You'll see in class... you won't regret taking him. It's very hard to dislike and not respect someone like him who genuinely loves what he does and is amazing at it.",09/01/2019,2.0,2.0,,4,N/A,4.0,4.0,1,No,1567308669000,Yes,1452,Yes,,A-,[],people,people
Mandatory,good,average,good,5,31271994,1,,awesome,5,ADM3718,if lebron scored 100 points in one game this guy would still be the goat,01/17/2019,2.0,2.0,,5,N/A,5.0,5.0,1,No,1547690258000,Yes,1452,Yes,,N/A,[],person,people
Mandatory,good,average,good,0,27935694,0,,good,4,GMS200,"The best, textbook is unnecessary but helpful, lectures and slides are identical to the tests. Great lectures but kinda info heavy, he will answer your question, plus he gives out midterm/final question in lectures",03/22/2017,2.0,2.0,,4,N/A,4.0,4.0,1,No,1490216674000,Yes,1452,Yes,,A-,"['Inspirational', 'Amazing lectures ']",people,people
Not Mandatory,good,average,good,1,26967384,0,,good,4,ADM3318,"Textbook is useful when writing the case study. Lecture's are a bit dense but very inspirational. No group projects in this course; individual case study, essay, and final. Pay attention to his examples. A bit of an accent but very kind hearted. It's tough to do well on the final if you don't go to the lectures.",09/11/2016,3.0,3.0,,4,N/A,4.0,4.0,1,Yes,1473636311000,Yes,1452,Yes,,A+,"['Inspirational', 'Respected', 'Accessible outside class']",people,person
