attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,23605757,0,,good,5,ENG1120,I enjoyed this profs class. He was a pretty good lecturer and I found his assignments and grading easy If you show up to class and actually do the work its an easy a ,09/22/2014,2.0,2.0,,3,Sorta interested,4.0,4.0,1,Yes,1411383061000,N/A,1452,Yes,,N/A,"['Gives good feedback', 'Participation matters']",people,people
Not Mandatory,good,average,good,0,23591086,0,,awesome,5,ENG1120,A great professor if you pay attention in class - which is not hard.  He really puts an effort into making the material interesting.   Go to class and you will really enjoy it :),09/12/2014,3.0,3.0,,5,Sorta interested,5.0,5.0,1,Yes,1410548881000,N/A,1452,N/A,,A,[],people,people
Mandatory,good,good,good,0,22824965,0,,awesome,5,ENG2132,If you're willing to work hard you will do well. He's great at incorporating social and historical contexts for all books covered,02/06/2014,4.0,4.0,,4,Sorta interested,4.5,4.5,1,Yes,1391724478000,N/A,1452,N/A,,A,[],people,people
Mandatory,poor,good,poor,0,22778456,2,,poor,1,ENG2132,"worst prof ever, don't take this course if it's with him. he is a crazy hard marker, for ex: lost 7% on a term paper because the titles of the books I was comparing weren't in the title of my essay. ok? he's brutal and incredibly boring too just spare yourself the trouble of taking this course, don't do it",01/21/2014,5.0,5.0,,2,Meh,1.5,1.5,1,Yes,1390330466000,N/A,1452,N/A,,N/A,[],people,people
Mandatory,poor,good,poor,0,22682259,0,,awful,1,ENG2132,"this course is the worst course i have ever taken at the school. the lectures were so dull and we usually talked all about historical events that were completely useless in relation to what we were studying. he was a very difficult marker, often deducting grades for seemingly no reason, and our final exam was ridiculous. don't ever take this course",01/01/2014,5.0,5.0,,1,Meh,1.0,1.0,1,Yes,1388607676000,N/A,1452,N/A,,B,[],people,people
Mandatory,poor,average,poor,0,22641792,0,,poor,1,ENG2132,"Prof spoke like a thesaurus (his level of language used in lecture was nearly incomprehensible). Lectures contained much more History material than I was expecting AKA I had no idea what we were talking about half the time, as I'm not a History major. Prof was available for help but not very straight forward with his comments/critiques.",12/22/2013,3.0,3.0,,2,Sorta interested,1.5,1.5,1,Yes,1387738952000,N/A,1452,N/A,,B,[],people,people
N/A,poor,average,poor,0,22641751,0,,poor,1,ENG2132,"I found this prof spoke like a thesaurus (his level of language used in lecture was nearly incomprehensible). Lectures contained much more History material than I was expecting AKA I had no idea what we were talking about half the time, as I'm not a History major. Prof was available for help but not very straight forward with his comments/critiques",12/22/2013,3.0,3.0,,2,Sorta interested,1.5,1.5,1,Yes,1387738501000,N/A,1452,N/A,,N/A,[],people,people
Mandatory,good,average,good,0,22638564,0,,awesome,5,ENG2132,"Amazing prof! The class was super interesting and not the ""typical"" utopian fiction readings. His lectures were awesome even at 8:30am on a Friday! But the best part is how helpful he is. He was always willing to meet up after class for a coffee with a group or one on one just to answer questions! Totally recommend this class!",12/22/2013,2.0,2.0,,5,It's my life,5.0,5.0,1,Yes,1387677161000,N/A,1452,N/A,,A,[],people,people
N/A,good,poor,good,0,22637768,0,,awesome,5,ENG2132,"Amazing prof. Incredibly intelligent, lectures always interesting, writes helpful comments. Most of all, he is always willing to answer quesions and will go out of his way to help you. Highly recommend his classes.",12/21/2013,1.0,1.0,,5,It's my life,5.0,5.0,1,Yes,1387667559000,N/A,1452,N/A,,A,[],people,people
