attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,good,good,0,30467265,0,,good,4,CML3160,what a great prof! He will teach you all the practical aspects of Criminal law practice. Great humour! His exams are long but fair.,08/28/2018,4.0,4.0,,4,N/A,4.0,4.0,1,Yes,1535452321000,Yes,1452,Yes,,N/A,"['Caring', 'Hilarious', 'Accessible outside class']",people,people
N/A,good,average,good,0,27925950,0,,good,4,CML3160,"He'll tell you from the get go that you are going to get a B: ""you're all going to get a B"" and you smile, laugh it off, shrug and think, not me, this is just his natural charm. Then you bust yourself harder than all else, and you get a B. He's a refreshing addition to the faculty though. He tells kids what it's really like out there. It's all true",03/20/2017,3.0,3.0,,4,N/A,4.0,4.0,1,Yes,1490048064000,Yes,1452,Yes,,N/A,[],people,people
Not Mandatory,average,good,average,0,25456822,0,,good,3,CML3160,"Funny, smart, but dont slack off. You will be tested, but you will learn lots.",11/19/2015,4.0,4.0,,4,It's my life,3.5,3.5,1,Yes,1447966572000,Yes,1452,Yes,,B,"['Hilarious', 'Get ready to read']",people,people
Not Mandatory,average,average,average,0,22769212,0,,good,3,CML3160,Prof. Davies is an excellent instructor - he is engaging and keeps classes interesting by encouraging critical evaluation of the material. He relies pretty heavily on the textbook and his exam was long (but fair). He is also hilarious. I'm hoping to take another class with him!,01/18/2014,3.0,3.0,,4,Really into it,3.5,3.5,1,Yes,1390062377000,N/A,1452,N/A,,N/A,[],people,people
Not Mandatory,good,good,good,2,22667411,0,,awesome,4,CML3160,A refreshing alternative to the one that usually teaches Advanced Criminal Procedure. Instead of an academic egg head you have a criminal lawyer who is in the trenches and practices on a daily basis. You want to learn how to properly function as counsel in a criminal court room take this guys course. He has a dry-funny wit.,12/28/2013,4.0,4.0,,5,Really into it,4.5,4.5,1,Yes,1388251869000,N/A,1452,N/A,,N/A,[],people,people
