attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,poor,poor,poor,0,28938517,0,,awful,1,ENG1100,He's very boring and it's hard to stay awake in class. He just reads out of the textbook so there's no point in going.,11/20/2017,1.0,1.0,,1,N/A,1.0,1.0,1,Yes,1511178021000,No,1452,Yes,,A-,"['Beware of pop quizzes', 'Get ready to read', 'Lecture heavy']",people,people
Not Mandatory,good,average,good,0,27745374,0,,good,4,ENG3373,"Manganiello isn't the most exciting professor; his teaching style is slow and quiet, and it can be hard to stay focused. However, he is very caring, patient and helpful, and will always answer your questions with detailed explanations. Also, he's a pretty easy grader (especially compared to other English professors).",01/17/2017,2.0,2.0,,4,N/A,4.0,4.0,1,Yes,1484686454000,Yes,1452,Yes,,A-,"['Caring', 'Get ready to read']",people,people
Mandatory,poor,good,poor,1,27488872,3,,awful,1,ENG3320,"I don't know how anyone here can call Prof. Manganiello ""well organized"" or ""interesting"". Every class is horribly boring with minimal effort seemingly put into his lectures. He'll talk about basic themes of each work but then leaving you scratching your head as to how it all fits together if you don't sit directly in front of him and ask questions",12/14/2016,4.0,4.0,,1,N/A,1.0,1.0,1,Yes,1481720587000,No,1452,Yes,,C,"['Tough grader', 'Lecture heavy']",people,person
N/A,good,good,good,2,24462957,0,,awesome,5,ENG3320,"Such a talented man. He's so intelligent and really appreciatedvalues students' input! A true scholar. I don't know how anyone could not be delighted to have him as a prof - especially when he takes so much time and specificity for feedback on papers. He has a quiet voice, so what? A true scholar! ",03/15/2015,4.0,4.0,,5,Sorta interested,5.0,5.0,1,Yes,1426434347000,N/A,1452,Yes,,N/A,"['Inspirational', 'Caring', 'Gives good feedback']",people,people
Mandatory,average,average,average,2,23059278,0,,average,2,ENG3320,"This prof is very knowledgeable, but VERY dull, quiet, and monotone. He has good intentions of being funny but if you don't sit in the first row you will not be able to hear his jokes. He is helpful in office hours, but in class is extremely dull.",04/18/2014,3.0,3.0,,4,Low,3.0,3.0,1,Yes,1397819637000,N/A,1452,N/A,,N/A,[],people,people
Mandatory,average,good,poor,2,22985732,0,,poor,2,ENG2103,"He's extremely dry and boring, but he knows his material. His essay questions are really just one question applied to different texts, so don't expect much scope. He gave us 90 minutes to write three essays for our midterm. That was rough.",04/03/2014,4.0,4.0,,1,Low,1.5,1.5,1,Yes,1396533508000,N/A,1452,N/A,,A-,[],people,people
Not Mandatory,average,average,average,0,22615222,0,,good,3,ENG1123,"At times it's hard to pay attention and I was always looking at the clock. The material is interesting and he obviously knows his stuff, but I would appreciate it if he was able to engage with the class more. Most of the students were shy and discussion was hard to facilitate though. Overall, he's very helpful and is always dressed to the nines.",12/19/2013,3.0,3.0,,4,Sorta interested,3.5,3.5,1,Yes,1387459957000,N/A,1452,N/A,,N/A,[],people,people
N/A,average,average,average,0,21939830,0,,good,3,ENG3320,"A good prof. Not that great at facilitating discussion, but he really appreciates participation and input. He takes the time to write you long, detailed replies if you ask him a question via e-mail, which I really appreciated. He was a bit hard to hear in class, so I would recommend sitting at the front! But really, a nice guy.",07/02/2013,2.0,2.0,,4,Really into it,3.5,3.5,1,Yes,1372766989000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,average,good,0,21778906,0,,awesome,5,ENG2122,Loved this class.  Loved this professor.  Very dense material but classes were well organized and material well covered.  Very respectful and brought out the best in me.  I learned so much in this class.  It was a full year course and I was so sad to see it end.  I want to take it again.  Very fascinating and well-taught.,05/16/2013,3.0,3.0,,5,Really into it,5.0,5.0,1,Yes,1368740528000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,good,good,0,21507745,0,,awesome,5,ENG1123,"Very nice and respectful. Seems to love what he's teacher. Can be a bit boring at times, but at least he is a fair marker. If you do your work, you will get that A. I liked him.",04/09/2013,4.0,4.0,,5,Really into it,5.0,5.0,1,Yes,1365522928000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,good,good,1,21389133,0,,awesome,4,EGN1123,"SOOOOOO boring. I hated going to this class. He seems very nice, and is very respectful. But I could barely stay awake in his class. He's very soft-spoken, and only engages with people in the first two rows of the class. If he was an easier grader, I probably would have enjoyed the class a bit more.",03/06/2013,4.0,4.0,,5,Sorta interested,4.5,4.5,1,Yes,1362570454000,N/A,1452,N/A,,N/A,[],people,person
N/A,good,average,good,0,20419515,0,,awesome,5,ENG2313,I love this professor. His class was my favourite so far. I did not find him boring at all. The reading list can seem a bit daunting but he chooses interesting texts that are enjoyable to read and when he speaks about them he speaks with passion and clarity. I always looked forward to going to his class.,06/17/2012,2.0,2.0,,5,It's my life,5.0,5.0,1,Yes,1339964206000,N/A,1452,N/A,,N/A,[],people,people
N/A,poor,good,poor,0,19528710,0,,awful,1,ENG2313,Very boring. The topic of the lecture was never clear. Not very helpful and writing is indecipherable. Would not recommend this class to anyone.,12/15/2011,5.0,5.0,,1,Meh,1.0,1.0,1,Yes,1323975558000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,average,good,0,19306052,0,,awesome,5,ENG3320,"Wonderful teacher. Clear, knowledgeable and respectful. Easily approached and happy to help. He has a classic charm which makes one warm to him easily. He is a fair marker. If you do your work well, you will do well.",11/23/2011,3.0,3.0,,5,Sorta interested,5.0,5.0,1,Yes,1322072678000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,average,good,0,16993909,0,,awesome,5,ENG2212,Excellent professor. Extensive knowledge of the material with the ability to communicate the significance of it clearly and effectively. Marking is done fairly and is always kind in communicating with his students. Much learned. Highly recommended.,04/14/2010,2.0,2.0,,5,Really into it,5.0,5.0,1,Yes,1271252192000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,average,good,0,16460521,0,,awesome,5,ENG1123,"You can tell he has a passion for English. Picks very interesting pieces but sometimes the reading list is a bit demanding. Explains everything VERY clearly. Always looks professional. However, classes can sometimes seem a little boring and long, especially early classes. I do not recomend taking this as an 8:30 class if you can avoid it.",12/03/2009,2.0,2.0,,5,Really into it,5.0,5.0,1,Yes,1259819499000,N/A,1452,N/A,,N/A,[],people,people
N/A,average,average,average,0,3532024,0,,good,3,ENG2313,"Wasn't too keen on this class, but the professor made it bearable. He tells you all you need to know for midterms, papers and finals, so they're really not much of a problem. Lectures can be a little boring - particularly at 8.30 in the morning! - but come grading time, you'll be glad you went.",03/31/2005,2.0,2.0,,4,Low,3.5,3.5,1,N/A,1112257289000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,average,good,0,3057330,0,,awesome,5,ENG2122,"Best professor I've ever had!! Very clear, very knowledgable and very kind!! Fair marker too!",12/17/2004,3.0,3.0,,5,Sorta interested,5.0,5.0,1,N/A,1103286988000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,good,good,0,1571225,0,,good,4,ENG2212,Very nice suits.  A snappy dresser.,01/03/2004,4.0,4.0,,4,N/A,4.0,4.0,1,N/A,1073161119000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,average,good,0,1568177,0,,awesome,5,ENG3320,"He is the best prof ever. Very helpful, very clear, very positive.",01/02/2004,3.0,3.0,,5,N/A,5.0,5.0,1,N/A,1073047516000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,average,good,0,1155283,0,,awesome,5,ENG3320,"I recommend you take this course. I've never loved English so much. He is very approachable, helpful, and dresses quite nicely, too.",09/26/2003,2.0,2.0,,5,N/A,5.0,5.0,1,N/A,1064592121000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,average,good,0,910944,0,,good,5,ENG3320,No Comments,05/01/2003,2.0,2.0,,3,N/A,4.0,4.0,1,N/A,1051788111000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,average,good,0,794061,0,,awesome,5,ENG3320,He's a doll!  Definately take him for Modern Brit.  Easy to understand and a fair marker!,04/06/2003,3.0,3.0,,5,N/A,5.0,5.0,1,N/A,1049626390000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,average,good,0,329324,0,,awesome,5,ENG3318,An amazing professor. He actually teaches rather than simply lectures!,11/08/2002,2.0,2.0,,5,N/A,5.0,5.0,1,N/A,1036766049000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,average,good,0,290899,0,,awesome,5,ENG3320,Great taste for picking readings that are interesting and challenging!,10/15/2002,2.0,2.0,,5,N/A,5.0,5.0,1,N/A,1034713358000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,poor,good,0,199725,0,,awesome,5,ENG2212,"Very easy marker, super nice, classes a little boring.",05/03/2002,1.0,1.0,,5,N/A,5.0,5.0,1,N/A,1020392532000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,good,good,0,78365,0,,awesome,5,ENG2212,"A good person.  Fair grader, but the reading list is demanding.",01/08/2002,4.0,4.0,,5,N/A,5.0,5.0,1,N/A,1010505615000,N/A,1452,N/A,,N/A,[],people,people
